EndUse,Run name,FuelType,0
Cooling,o_e_2124_dg6_cc,Natural Gas,0.0
Cooling,o_f_2124_tg4_cc,Electricity,828.82
Cooling,o_f_2124_tg4_cc,Natural Gas,0.0
Cooling,o_g_2124_tg5_cc,Electricity,846.96
Cooling,o_g_2124_tg5_cc,Natural Gas,0.0
Cooling,o_h_2124_tg6_cc,Electricity,1013.7
Cooling,o_h_2124_tg6_cc,Natural Gas,0.0
Cooling,p_a_1927_dg_init_cc,Electricity,496.4
Cooling,p_a_1927_dg_init_cc,Natural Gas,0.0
Cooling,p_b_1927_dg0_cc,Electricity,524.9
Cooling,p_b_1927_dg0_cc,Natural Gas,0.0
Cooling,p_c_1927_dg4_cc,Electricity,520.1
Cooling,p_c_1927_dg4_cc,Natural Gas,0.0
Cooling,p_d_1927_dg5_cc,Electricity,531.65
Cooling,p_d_1927_dg5_cc,Natural Gas,0.0
Cooling,p_e_1927_dg6_cc,Electricity,550.36
Cooling,p_e_1927_dg6_cc,Natural Gas,0.0
Cooling,p_f_1927_tg4_cc,Electricity,558.34
Cooling,p_f_1927_tg4_cc,Natural Gas,0.0
Cooling,p_g_1927_tg5_cc,Electricity,550.06
Cooling,p_g_1927_tg5_cc,Natural Gas,0.0
Cooling,p_h_1927_tg6_cc,Electricity,579.1
Cooling,p_h_1927_tg6_cc,Natural Gas,0.0
Fans,a_a_2126_dg_init,Electricity,279.55
Fans,a_a_2126_dg_init,Natural Gas,0.0
Fans,a_b_2126_dg0,Electricity,313.88
Fans,a_b_2126_dg0,Natural Gas,0.0
Fans,a_c_2126_sg1,Electricity,316.96
Fans,a_c_2126_sg1,Natural Gas,0.0
Fans,a_d_2126_sg2,Electricity,268.74
Fans,a_d_2126_sg2,Natural Gas,0.0
Fans,a_e_2126_dg1,Electricity,368.83
Fans,a_e_2126_dg1,Natural Gas,0.0
Fans,a_f_2126_dg2,Electricity,320.29
Fans,a_f_2126_dg2,Natural Gas,0.0
Fans,a_g_2126_dg3,Electricity,327.3
Fans,a_g_2126_dg3,Natural Gas,0.0
Fans,a_h_2126_dg4,Electricity,283.22
Fans,a_h_2126_dg4,Natural Gas,0.0
Fans,a_i_2126_dg5,Electricity,299.45
Fans,a_i_2126_dg5,Natural Gas,0.0
Fans,a_j_2126_dg6,Electricity,319.61
Fans,a_j_2126_dg6,Natural Gas,0.0
Fans,a_k_2126_tg1,Electricity,389.13
Fans,a_k_2126_tg1,Natural Gas,0.0
Fans,a_l_2126_tg2,Electricity,338.88
Fans,a_l_2126_tg2,Natural Gas,0.0
Fans,a_m_2126_tg3,Electricity,333.31
Fans,a_m_2126_tg3,Natural Gas,0.0
Fans,a_n_2126_tg4,Electricity,304.12
