,"market for curtain wall, triple glazing, coated, high perf alu frame","market for curtain wall, smart glazing, high perf alu frame","market for curtain wall, vacuum double glazing, coated, high perf alu frame","market for curtain wall, triple glazing, two coatings, xenon, high perf alu frame","market for curtain wall, double glazing, coated, high perf alu frame","market for curtain wall, single glazing, coated, low perf alu frame","market for curtain wall, double glazing, coated, krypton, high perf alu frame","market for curtain wall, triple glazing, two coatings, krypton, high perf alu frame","market for curtain wall, double glazing, two coatings, high perf alu frame","market for curtain wall, single glazing, low perf alu frame","market for curtain wall, double glazing, low perf alu frame","market for curtain wall, double skin facade","market for curtain wall, ccf","market for curtain wall, triple glazing, two coatings, high perf alu frame"
345,214.7431869758795,368.46336093267183,190.0948685951532,263.4886714424805,188.21695571350992,157.33986643173228,193.32849971495213,224.69596121448402,189.1019814832685,156.45119123057444,184.1512435881135,339.21950318531185,465.6201727407479,214.47287626050647
346,206.52938847175565,344.052241332914,180.72264785150782,251.33978832520546,178.81037983530499,146.38348440322065,186.43570410296968,221.58225670573754,179.66216942805954,145.5281796109675,173.96901044832174,318.80975151861526,477.83061869063715,206.33160939329971
347,215.32906983297252,282.43892936501396,189.63454466777776,290.79494869669884,188.10083585695725,155.727221859087,193.28139486877376,225.6913886232442,188.93562722927368,154.88898904349423,183.01608045760426,336.9183562846815,467.89169483150494,215.33026762715733
348,205.46281126588562,394.76558833830586,180.5796539049146,230.60777815478872,178.95595272669374,147.56147746104392,184.32128800055523,216.16184578143995,179.91873670927737,146.59472422093148,173.90051458938086,319.7892920119917,461.4993378641266,205.43117480970486
349,200.9062974230648,304.23879129221444,175.6537126391142,247.7290748519419,174.0087969563491,142.3971206973183,179.62621069301863,211.75573728106292,174.80348144274166,141.59915961992252,169.62454903921684,310.0368118466327,455.47473209097797,200.52090872966156
350,195.4920797434817,304.2744174994583,171.13331030796704,242.90551915480003,169.07236046946775,137.70093665478382,173.73328717880364,204.17813632275207,169.87620710026684,136.89377749235157,164.0692929953993,298.7299805113516,451.5224252568658,194.85628390682527
351,212.3622428430038,306.1689312120806,187.56522534791108,250.156219373223,185.44593541335027,153.6434722712298,190.7903050513528,223.28735055437264,186.54191385180437,152.54297407840482,180.3937226594051,332.7516966448374,468.68903266751425,212.59860877514657
352,210.2631989056623,644.8593774507813,184.1805572591226,265.93230337081627,182.34202384173162,148.22653588190585,187.90207673349232,220.91459851936702,183.20664198712237,147.35835554180804,176.08623919090323,323.9812898538913,478.1549152573248,209.79449506936933
353,215.3572097015451,460.66973676166646,187.9194871860722,253.69465930676085,186.57384674489165,152.71798664269227,194.6932706282847,231.4009749245296,187.63248434423545,151.65498463660043,180.6950858142066,331.5590523122567,505.2348965759266,215.16212698771457
354,201.25297150232862,345.71286962757074,176.61189380431236,228.09632650076242,174.50037158194527,143.01276110795956,178.76438449710426,209.55829522009995,175.2259334403796,142.28420765867978,169.59614574015828,310.43306519194897,471.50216094904283,201.03026716701217
355,206.27848018135415,414.6457110834267,180.95497067272186,244.2036978247224,178.88508740525364,147.0445537174052,185.2135766752435,218.48054762394395,179.67920261363153,146.24716645661854,174.24567812259957,319.37237865932315,477.8810969965203,205.82356992597545
356,207.75859700568978,375.8859632210877,181.6274319554925,238.77401554385136,179.71721756354165,146.60681696111624,185.48964831788476,219.0795296316633,180.58190244020503,145.73856668776813,174.64108013054857,317.88912034732385,480.7836604077612,207.5346674939591
357,196.8961854155035,425.270155920513,171.23000878719415,264.20895815239845,169.22832501363695,135.91492105098126,174.3882496135696,206.70554856792717,170.27993724691137,134.85897540160352,164.11936119246104,296.7425331214752,441.4216896816641,196.38570086359258
