Category,Subcategory,Unit,Step,Name,0
climate change,climate change total,kg CO2-Eq,step_9_DK,i_g_2126_dg_smart_CH,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_g_2126_dg_smart_DE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_g_2126_dg_smart_DK,-439.66316579371426
climate change,climate change total,kg CO2-Eq,step_9_DK,i_g_2126_dg_smart_FR,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_g_2126_dg_smart_PL,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_h_2126_dsf_min_BE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_h_2126_dsf_min_CH,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_h_2126_dsf_min_DE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_h_2126_dsf_min_DK,-296.79400383187055
climate change,climate change total,kg CO2-Eq,step_9_DK,i_h_2126_dsf_min_FR,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_h_2126_dsf_min_PL,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_i_2126_dsf_mean_BE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_i_2126_dsf_mean_CH,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_i_2126_dsf_mean_DE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_i_2126_dsf_mean_DK,-231.29045133019474
climate change,climate change total,kg CO2-Eq,step_9_DK,i_i_2126_dsf_mean_FR,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_i_2126_dsf_mean_PL,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_j_2126_dsf_max_BE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_j_2126_dsf_max_CH,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_j_2126_dsf_max_DE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_j_2126_dsf_max_DK,-170.95823610276068
climate change,climate change total,kg CO2-Eq,step_9_DK,i_j_2126_dsf_max_FR,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_j_2126_dsf_max_PL,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_b_2126_dg5k_BE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_b_2126_dg5k_CH,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_b_2126_dg5k_DE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_b_2126_dg5k_DK,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_b_2126_dg5k_FR,-131.2920304343888
climate change,climate change total,kg CO2-Eq,step_9_FR,i_b_2126_dg5k_PL,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_c_2126_tg5k_BE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_c_2126_tg5k_CH,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_c_2126_tg5k_DE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_c_2126_tg5k_DK,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_c_2126_tg5k_FR,-186.67667329780053
climate change,climate change total,kg CO2-Eq,step_9_FR,i_c_2126_tg5k_PL,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_d_2126_tg5x_BE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_d_2126_tg5x_CH,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_d_2126_tg5x_DE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_d_2126_tg5x_DK,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_d_2126_tg5x_FR,-150.05091803732458
climate change,climate change total,kg CO2-Eq,step_9_FR,i_d_2126_tg5x_PL,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_e_2126_ccf_BE,
