,"market for curtain wall, triple glazing, coated, high perf alu frame","market for curtain wall, smart glazing, high perf alu frame","market for curtain wall, vacuum double glazing, coated, high perf alu frame","market for curtain wall, triple glazing, two coatings, xenon, high perf alu frame","market for curtain wall, double glazing, coated, high perf alu frame","market for curtain wall, single glazing, coated, low perf alu frame","market for curtain wall, double glazing, coated, krypton, high perf alu frame","market for curtain wall, triple glazing, two coatings, krypton, high perf alu frame","market for curtain wall, double glazing, two coatings, high perf alu frame","market for curtain wall, single glazing, low perf alu frame","market for curtain wall, double glazing, low perf alu frame","market for curtain wall, double skin facade","market for curtain wall, ccf","market for curtain wall, triple glazing, two coatings, high perf alu frame"
328,3.114946877236249e-05,5.363225223122422e-05,2.7282762759019436e-05,3.6347015475544765e-05,2.7120420694527823e-05,2.1383425173960778e-05,2.734611433927492e-05,3.104321110536989e-05,2.726546496256459e-05,2.123778333226591e-05,2.515715479652244e-05,4.590932402150322e-05,6.827215641447812e-05,3.05918247162916e-05
329,2.5608576942735715e-05,3.730110833097133e-05,2.2543454979901482e-05,2.8141544308281814e-05,2.226481609175177e-05,1.771108843971662e-05,2.245553882101826e-05,2.5672672626834555e-05,2.2366912402061987e-05,1.7608571889372977e-05,2.109637938798084e-05,3.628624949504263e-05,5.079813986867703e-05,2.5291227609941676e-05
330,3.456399411155317e-05,5.940667717930026e-05,3.065322666354346e-05,3.705549247118604e-05,3.035459667482424e-05,2.4758554189133693e-05,3.062133799950304e-05,3.472618511815793e-05,3.0504842896166995e-05,2.4607688361349106e-05,2.8854410869987594e-05,5.2044253115555586e-05,7.194229202391438e-05,3.419270178993418e-05
331,2.4713222483056892e-05,6.32219927645241e-05,2.146792499225142e-05,2.7473218738002493e-05,2.132090502438933e-05,1.7163374881171798e-05,2.1493958199323888e-05,2.500911300495816e-05,2.141799797669356e-05,1.706588132734288e-05,2.0856689892029173e-05,3.465042599419847e-05,4.473385740182226e-05,2.4663007005049458e-05
332,2.4542920015465395e-05,3.4402161557224975e-05,2.1564374809059588e-05,2.7196326479571986e-05,2.133224482001555e-05,1.7083799611698176e-05,2.1569963783755094e-05,2.477399877297378e-05,2.1431965046125557e-05,1.6983669061176606e-05,2.0262093676759502e-05,3.510210601107383e-05,5.0353892965065176e-05,2.4298561035632695e-05
333,1.8230197223344288e-05,2.5838437746155166e-05,1.6176191995998607e-05,1.9635894427981272e-05,1.6019414661194328e-05,1.3159397429180928e-05,1.6166585676812713e-05,1.8472329667497726e-05,1.6090991208101305e-05,1.3087525773128455e-05,1.543788629735632e-05,2.6226371448281885e-05,3.431920139442241e-05,1.8177987619633758e-05
334,2.5692994214423673e-05,3.5001746082703e-05,2.2359156962671082e-05,2.8065764291136035e-05,2.199769751644951e-05,1.7346163241418304e-05,2.21481669037096e-05,2.578218450246342e-05,2.211639283047424e-05,1.722697895790098e-05,2.127463926655696e-05,3.668178062656448e-05,5.0707897046391555e-05,2.548124560815929e-05
335,3.1776184244991715e-05,4.714823830036068e-05,2.8393781091259754e-05,3.540302986196352e-05,2.830091863645715e-05,2.2965568191837633e-05,2.85349477644408e-05,3.194840562095101e-05,2.8419438715193795e-05,2.2846560239609385e-05,2.5968879986647207e-05,4.80234023133017e-05,6.818410107182258e-05,3.1480348456711866e-05
336,2.0280463587753427e-05,4.4251241285356665e-05,1.7711623875792255e-05,2.1749377741872224e-05,1.7413675895277986e-05,1.3871205581278751e-05,1.7573874453895338e-05,2.049203196043423e-05,1.7516878428818512e-05,1.3767577550364874e-05,1.686083945914611e-05,2.9287738613887655e-05,4.126424551845187e-05,2.0171635049128207e-05
337,3.347691933642824e-05,4.377226184785245e-05,2.9325423772545844e-05,3.451471133448646e-05,2.920132908526212e-05,2.1420495078190352e-05,2.9456091207657336e-05,3.336618652691631e-05,2.931793695511528e-05,2.1303406177839537e-05,2.508910510451861e-05,4.748067364108256e-05,7.375461533859246e-05,3.285666075279049e-05
338,2.305426428754354e-05,3.939143731210966e-05,2.051129323486461e-05,2.610897738977061e-05,2.0046777074198056e-05,1.6262979264208173e-05,2.0222991561885653e-05,2.332994696684948e-05,2.0140027818307286e-05,1.6169343554653697e-05,1.9312708363161108e-05,3.3964566094346586e-05,4.657363009963522e-05,2.2977517880703704e-05
339,3.710997035267592e-05,5.794200447361887e-05,3.3776665785646175e-05,3.872284112548273e-05,3.365881106068535e-05,2.8125944170670442e-05,3.427251561072256e-05,3.802377343089725e-05,3.3777866228056615e-05,2.8006398760698475e-05,3.097853382566352e-05,5.7574153128536796e-05,7.462312990266368e-05,3.6796363479061063e-05
